"Day","Amdmt","OTU","baseMean","l2FC","SE","pvalue","padj"
1,1,"OTU.467",27.6844493071327,0.00197747600187988,0.1312930940684,0.987983085244498,0.995364668822895
1,1,"OTU.572",106.705678733801,0.068143892056472,0.178843684825547,0.70318479322786,0.875148584961326
1,1,"OTU.50",198.506946191499,-0.131428601517494,0.204603587218662,0.520641237831448,0.768477757007678
1,1,"OTU.12",541.107383686457,-0.00557238475141061,0.0577507099534236,0.923131157892903,0.972628561099527
1,1,"OTU.29",413.328991672505,-0.080299950495154,0.109537818893018,0.463509825706773,0.73257112216527
1,1,"OTU.113",176.44116791369,0.0239519628142095,0.133727982659217,0.857851659859933,0.949680491070211
1,1,"OTU.100",107.692479226345,0.162499330485426,0.348367075808866,0.640886222824484,0.838911533168366
1,1,"OTU.31",236.576967254353,-0.0588962724064724,0.18721120061285,0.753066885246501,0.898829957959868
1,1,"OTU.1",2436.59679448452,0.205421597181896,0.174517989793232,0.239163664423319,0.51965610204195
1,1,"OTU.3189",293.213302012703,0.189124929625538,0.166978507135798,0.257369506130548,0.540222330273925
1,1,"OTU.336",35.7098441033288,-0.339961794059266,0.260704239496983,0.192229049793147,0.45740821629771
1,1,"OTU.1435",139.881786419652,-0.0978984703892813,0.162693648559984,0.547350516539737,0.784293723249776
1,1,"OTU.145",75.0306541129407,-0.133262908013107,0.155074292992353,0.390148106726862,0.674215689029885
1,1,"OTU.2125",24.2357154149937,-0.227864162928448,0.155081017039072,0.141745100371858,0.382544249154549
1,1,"OTU.2889",146.555554969575,-0.33161590679677,0.120767379854564,0.00603439991539212,0.0465332429205456
1,1,"OTU.2119",30.6474570939798,0.0316123249637912,0.275712524255152,0.908717130148766,0.967994667718474
1,1,"OTU.81",367.947328079237,-0.0200800317973261,0.209111699045116,0.923500409930188,0.972628561099527
1,1,"OTU.3373",17.7351252310847,0.509234464290194,0.251588013094017,0.0429618398178735,0.187039891802415
1,1,"OTU.161",66.2155412811938,0.0114819032637969,0.203483826490359,0.955001956089401,0.985821081421999
1,1,"OTU.15",521.212365205921,-0.108599357599823,0.13291892840828,0.413908680703132,0.694326907748216
1,1,"OTU.149",51.7669790443789,0.432171442730487,0.222369522146373,0.0519577966495403,0.209164471633886
1,1,"OTU.7616",2.81768297198341,-0.00502649318178104,0.376672039878834,0.989352959994201,0.995787430681441
1,1,"OTU.3",909.174503549037,0.841306468145477,0.220477762929479,0.000135723918878547,0.00209779393393282
1,1,"OTU.5013",57.9035250814105,0.105961196639149,0.129549223878773,0.413401567052786,0.694326907748216
1,1,"OTU.3553",238.45670325346,0.649040308165094,0.218752742760039,0.00300716843873024,0.0273973556985474
1,1,"OTU.517",228.019961455467,-0.0397575870397471,0.143496417455464,0.781731522390615,0.914237146374221
1,1,"OTU.134",64.6107965035586,-0.113419323518429,0.139826307076675,0.417282760724973,0.696685062068888
