"OTU"	"Day"	"1"	"2"
"1"	"OTU.1"	1	0.205421597181896	0.477133975825925
"2"	"OTU.1"	2	-0.123336233110285	-0.606282618273634
"3"	"OTU.10"	1	0.488401843333046	1.30510670708401
"4"	"OTU.10"	2	0.590778270452786	1.09794310778704
"5"	"OTU.100"	1	0.162499330485426	3.84792412288942
"6"	"OTU.100"	2	-0.375378190461074	0.621034672683198
"7"	"OTU.1000"	1	-0.0591212454021046	-0.68428929073028
"8"	"OTU.1000"	2	0.0499989976792177	0.850211543149895
"9"	"OTU.1001"	1	-0.429466083479781	-1.18734932100368
"10"	"OTU.1001"	2	0.21296052270533	0.158790616228185
"11"	"OTU.1002"	1	-0.182095084209444	-1.20193099711756
"12"	"OTU.1002"	2	-0.345712970222706	-0.360382317088057
"13"	"OTU.1003"	2	2.59871066545398	-3.37645655688392
"14"	"OTU.1004"	1	-0.142175911966998	-0.0212364462660822
"15"	"OTU.1004"	2	-0.204996996673509	-0.41405716380277
"16"	"OTU.1005"	1	-0.125992105749044	-1.45302686474717
"17"	"OTU.1005"	2	-0.223873120412586	-1.42830130093033
"18"	"OTU.1006"	1	0.282315636219667	-0.853429928069513
"19"	"OTU.1006"	2	0.089806225855324	0.403800480920612
"20"	"OTU.1007"	1	0.333900405924134	0.0463816721591459
"21"	"OTU.1007"	2	-0.264653114622483	-0.736447089855155
"22"	"OTU.1008"	1	-0.0986495647694274	-1.29873340403686
"23"	"OTU.1008"	2	0.110396006775722	1.69828834326339
"24"	"OTU.1009"	1	-0.300965673483754	-0.566917526951846
"25"	"OTU.1009"	2	0.095981544284961	0.125548314404681
"26"	"OTU.101"	1	0.00365930214265181	-0.525383778639565
"27"	"OTU.101"	2	0.168315480498518	-0.218576206400654
"28"	"OTU.1011"	1	-0.529704661561095	-1.70593414721564
"29"	"OTU.1011"	2	0.308552389583819	-0.071346841441808
"30"	"OTU.1012"	1	-0.233638706116825	-0.647087626321851
"31"	"OTU.1012"	2	-0.0954404035711736	-0.409532754421277
"32"	"OTU.1013"	1	0.0750731191809439	-0.0245734024471558
"33"	"OTU.1013"	2	0.65295746475151	2.8228089059572
"34"	"OTU.1014"	1	-0.731063359102321	-1.04053706706726
"35"	"OTU.1014"	2	-0.241283155261651	0.328932888457774
"36"	"OTU.1015"	1	0.029086247509961	-0.454196044963474
"37"	"OTU.1015"	2	0.0863591638660608	0.817015080251652
"38"	"OTU.1016"	1	-0.125893014461399	1.15726853156323
"39"	"OTU.1016"	2	0.30785814032635	6.29238596477594
"40"	"OTU.1017"	1	-0.0757597758065357	0.0186713651412581
"41"	"OTU.1017"	2	-0.0713224199064382	0.0474234653712381
"42"	"OTU.1018"	1	0.195152280618372	0.599813401083168
"43"	"OTU.1018"	2	1.86725854681017	0.574350760340952
"44"	"OTU.1019"	1	-0.335898508955943	-1.28806332072168
"45"	"OTU.1019"	2	0.154462185455199	-0.385382129108185
"46"	"OTU.102"	1	0.0895051503200248	0.498862717343231
"47"	"OTU.102"	2	-0.259202714885214	0.150069043103672
"48"	"OTU.1020"	1	-0.0633956708634608	-0.980770576437482
"49"	"OTU.1020"	2	-0.571435443343824	-0.79320756158077
"50"	"OTU.1022"	1	0.370459980875043	2.41661082813034
"51"	"OTU.1022"	2	0.778372614490888	4.16634626192548
"52"	"OTU.1023"	1	0.524241198906349	0.34829589018983
"53"	"OTU.1023"	2	0.35541039798753	0.0561374732883301
"54"	"OTU.1024"	1	-0.165986875712841	-1.0647063972731
"55"	"OTU.1024"	2	0.169922149354597	-0.223127877823529
"56"	"OTU.1025"	1	-0.0383475321537886	0.209475714386985
"57"	"OTU.1025"	2	0.996134847757945	-0.417144823722618
"58"	"OTU.1026"	1	-0.21644506105506	-0.813838303583287
"59"	"OTU.1026"	2	-0.0736501899940981	0.299739742118792
"60"	"OTU.1027"	1	-0.00611494821374457	-1.29850779862629
"61"	"OTU.1027"	2	-0.414354605036772	-0.41816538069888
"62"	"OTU.1028"	1	-0.0235926169469127	0.00564425083356718
"63"	"OTU.1028"	2	0.668894682451561	-0.00497835712624668
"64"	"OTU.1029"	1	0.0335390063346871	-0.474010292031641
"65"	"OTU.1029"	2	0.173305750216625	-0.8528081089571
"66"	"OTU.103"	1	-0.00803443754405301	-0.0359867427675115
"67"	"OTU.103"	2	-0.0237185011183013	-0.0567808503007693
"68"	"OTU.1030"	1	-0.0612816607246713	0.708246715852475
"69"	"OTU.1030"	2	-0.294788608165111	-1.18992681874091
"70"	"OTU.1031"	1	0.170638222489808	-0.692623422200834
"71"	"OTU.1031"	2	0.248812269397553	1.78691624089765
"72"	"OTU.1032"	1	0.0105894174519113	-0.528550781914104
"73"	"OTU.1032"	2	-0.61699104039321	-1.44420983328817
"74"	"OTU.1033"	1	-0.262028966505412	-0.647666523404762
"75"	"OTU.1033"	2	0.267841961081933	0.783141439853626
"76"	"OTU.1034"	1	-0.160518537626618	-0.418292316994943
"77"	"OTU.1034"	2	-0.155166008316278	-0.205781867142719
"78"	"OTU.1035"	1	0.233451257414387	-0.605645870483487
"79"	"OTU.1035"	2	-0.302394141363295	5.1207313076768
"80"	"OTU.1036"	1	-0.149524079179685	0.0786137606359956
"81"	"OTU.1036"	2	0.0361900837297709	-0.371362596831645
